location,opening,source,row_or_symbol,claim_type
03_framework.md / 3.1 / block 4,We evaluate both the trajectory and its final estimate. Let $e_t=|\hat{y}_t-y|$ and let e(c) hold th,src/cmc_bbdm/cai_agent_v3/metrics.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_active_image/environment.py,left_error_area_mpa; trajectory_objective_mpa; MeanSCPredictor; NativeCellGrid,task and information contract
03_framework.md / 3.1 / block 5,"$$A(B)=\frac{1}{B}\int_0^B e(c)\,dc,\qquad J=A(B)+0.25e_T.$$",src/cmc_bbdm/cai_agent_v3/metrics.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_active_image/environment.py,left_error_area_mpa; trajectory_objective_mpa; MeanSCPredictor; NativeCellGrid,task and information contract
03_framework.md / 3.1 / block 6,Both terms are measured in MPa and lower values are preferable. A(B) measures prediction quality ove,src/cmc_bbdm/cai_agent_v3/metrics.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_active_image/environment.py,left_error_area_mpa; trajectory_objective_mpa; MeanSCPredictor; NativeCellGrid,task and information contract
03_framework.md / 3.1 / block 7,![Multimodal acquisition workflow. Only requested internal descriptors enter the visible state. The ,src/cmc_bbdm/cai_agent_v3/metrics.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_active_image/environment.py,left_error_area_mpa; trajectory_objective_mpa; MeanSCPredictor; NativeCellGrid,task and information contract
03_framework.md / 3.2 / block 1,A consistent spatial representation connects surface cues to candidate internal observations. Frozen,src/cmc_bbdm/cai_agent_v3/feature_bank.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/vlm_perception.py; src/cmc_bbdm/cai_agent_v3/policy.py; src/cmc_bbdm/learned_cscan/perception.py,_cell_crops/build_feature_bank; masking; _features; vlm_first_action_mask; SURFACE_PERCEPT_PROMPT,state visibility / VLM initialization
03_framework.md / 3.2 / block 2,Offline replay stores the complete internal feature array on the environment side so that any legal ,src/cmc_bbdm/cai_agent_v3/feature_bank.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/vlm_perception.py; src/cmc_bbdm/cai_agent_v3/policy.py; src/cmc_bbdm/learned_cscan/perception.py,_cell_crops/build_feature_bank; masking; _features; vlm_first_action_mask; SURFACE_PERCEPT_PROMPT,state visibility / VLM initialization
03_framework.md / 3.2 / block 3,A frozen Qwen2.5-VL-7B-Instruct model [@bai2025] supplies an additional surface prior. It examines c,src/cmc_bbdm/cai_agent_v3/feature_bank.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/vlm_perception.py; src/cmc_bbdm/cai_agent_v3/policy.py; src/cmc_bbdm/learned_cscan/perception.py,_cell_crops/build_feature_bank; masking; _features; vlm_first_action_mask; SURFACE_PERCEPT_PROMPT,state visibility / VLM initialization
03_framework.md / 3.2 / block 4,"The prior has a specific initialization role. At the first action, cells in the highest available re",src/cmc_bbdm/cai_agent_v3/feature_bank.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/vlm_perception.py; src/cmc_bbdm/cai_agent_v3/policy.py; src/cmc_bbdm/learned_cscan/perception.py,_cell_crops/build_feature_bank; masking; _features; vlm_first_action_mask; SURFACE_PERCEPT_PROMPT,state visibility / VLM initialization
03_framework.md / 3.2 / block 5,The information boundary can be summarized as follows.,src/cmc_bbdm/cai_agent_v3/feature_bank.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/vlm_perception.py; src/cmc_bbdm/cai_agent_v3/policy.py; src/cmc_bbdm/learned_cscan/perception.py,_cell_crops/build_feature_bank; masking; _features; vlm_first_action_mask; SURFACE_PERCEPT_PROMPT,state visibility / VLM initialization
03_framework.md / 3.2 / block 6,| Information | Acquisition actor during evaluation | Frozen CAI predictor | Training/scoring side |,src/cmc_bbdm/cai_agent_v3/feature_bank.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/vlm_perception.py; src/cmc_bbdm/cai_agent_v3/policy.py; src/cmc_bbdm/learned_cscan/perception.py,_cell_crops/build_feature_bank; masking; _features; vlm_first_action_mask; SURFACE_PERCEPT_PROMPT,state visibility / VLM initialization
03_framework.md / 3.3 / block 1,A common assessment model is necessary to distinguish acquisition choices from changes in the downst,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/final_manifest.json; src/cmc_bbdm/cai_agent_v3/predictor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/predictor_gate.json; results/cai_agent_v3/w2_replay/r1_292b1c74/oof_readiness.json,MeanSCPredictor; _predict_by_fold; selected MEAN_SC@1750; _sample_training_masks/_train_candidate/evaluate_predictor/run_oof_reward_predictors,predictor architecture and OOF distinction
03_framework.md / 3.3 / block 2,The predictor forms two summaries: the mean over all 64 fused cell representations and the mean over,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/final_manifest.json; src/cmc_bbdm/cai_agent_v3/predictor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/predictor_gate.json; results/cai_agent_v3/w2_replay/r1_292b1c74/oof_readiness.json,MeanSCPredictor; _predict_by_fold; selected MEAN_SC@1750; _sample_training_masks/_train_candidate/evaluate_predictor/run_oof_reward_predictors,predictor architecture and OOF distinction
03_framework.md / 3.3 / block 3,"Neither the policy identifier nor the acquisition order enters this predictor. Therefore, for the sa",src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/final_manifest.json; src/cmc_bbdm/cai_agent_v3/predictor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/predictor_gate.json; results/cai_agent_v3/w2_replay/r1_292b1c74/oof_readiness.json,MeanSCPredictor; _predict_by_fold; selected MEAN_SC@1750; _sample_training_masks/_train_candidate/evaluate_predictor/run_oof_reward_predictors,predictor architecture and OOF distinction
03_framework.md / 3.3 / block 4,Predictor training covers both sparse and dense observation sets. A random mask draw selects zero ce,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/final_manifest.json; src/cmc_bbdm/cai_agent_v3/predictor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/predictor_gate.json; results/cai_agent_v3/w2_replay/r1_292b1c74/oof_readiness.json,MeanSCPredictor; _predict_by_fold; selected MEAN_SC@1750; _sample_training_masks/_train_candidate/evaluate_predictor/run_oof_reward_predictors,predictor architecture and OOF distinction
03_framework.md / 3.3 / block 5,"During policy learning, a specimen in training fold $k$ receives feedback from a frozen predictor $P",src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/final_manifest.json; src/cmc_bbdm/cai_agent_v3/predictor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/predictor_gate.json; results/cai_agent_v3/w2_replay/r1_292b1c74/oof_readiness.json,MeanSCPredictor; _predict_by_fold; selected MEAN_SC@1750; _sample_training_masks/_train_candidate/evaluate_predictor/run_oof_reward_predictors,predictor architecture and OOF distinction
03_framework.md / 3.4 / block 1,The spatial actor represents each candidate location jointly with the current assessment state. Surf,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; src/cmc_bbdm/cai_agent_v3/policy.py,SpatialCAIActor; MeanFeedbackActor; TrueStaticActor; _training_rollout_loss; _evaluate_one; _actor_forward; logical X_obs and history t/64,actor/critic/training and evaluation semantics
03_framework.md / 3.4 / block 2,The resulting query representation supplies global context to every cell. An action head scores each,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; src/cmc_bbdm/cai_agent_v3/policy.py,SpatialCAIActor; MeanFeedbackActor; TrueStaticActor; _training_rollout_loss; _evaluate_one; _actor_forward; logical X_obs and history t/64,actor/critic/training and evaluation semantics
03_framework.md / 3.4 / block 3,Policy-gradient learning [@williams1992] minimizes the expected trajectory objective over training s,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; src/cmc_bbdm/cai_agent_v3/policy.py,SpatialCAIActor; MeanFeedbackActor; TrueStaticActor; _training_rollout_loss; _evaluate_one; _actor_forward; logical X_obs and history t/64,actor/critic/training and evaluation semantics
03_framework.md / 3.4 / block 4,"During training, actions are sampled from the legal categorical distribution. During evaluation, the",src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; src/cmc_bbdm/cai_agent_v3/policy.py,SpatialCAIActor; MeanFeedbackActor; TrueStaticActor; _training_rollout_loss; _evaluate_one; _actor_forward; logical X_obs and history t/64,actor/critic/training and evaluation semantics
03_framework.md / 3.4 / block 5,**Algorithm 1. Budget-limited task-driven acquisition**,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; src/cmc_bbdm/cai_agent_v3/policy.py,SpatialCAIActor; MeanFeedbackActor; TrueStaticActor; _training_rollout_loss; _evaluate_one; _actor_forward; logical X_obs and history t/64,actor/critic/training and evaluation semantics
03_framework.md / 3.4 / block 6,```text,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; src/cmc_bbdm/cai_agent_v3/policy.py,SpatialCAIActor; MeanFeedbackActor; TrueStaticActor; _training_rollout_loss; _evaluate_one; _actor_forward; logical X_obs and history t/64,actor/critic/training and evaluation semantics
03_framework.md / 3.4 / block 7,The algorithm exposes a logical observation buffer. The replay implementation stores the full descri,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; src/cmc_bbdm/cai_agent_v3/policy.py,SpatialCAIActor; MeanFeedbackActor; TrueStaticActor; _training_rollout_loss; _evaluate_one; _actor_forward; logical X_obs and history t/64,actor/critic/training and evaluation semantics
03_framework.md / 3.5 / block 1,The trajectory objective admits a direct decomposition using saved prediction changes. For an acquis,src/cmc_bbdm/cai_agent_v3/metrics.py; analysis/timing_analysis.py; analysis/timing_identity_checks.json,left_error_area_mpa; decompose; all650 episodes,"algebraic identity, not causal evidence"
03_framework.md / 3.5 / block 2,"$$g_t=(1-c_t/B)\,\delta_t,\qquad A(B)=e_0-\sum_{t=1}^{T}g_t.$$",src/cmc_bbdm/cai_agent_v3/metrics.py; analysis/timing_analysis.py; analysis/timing_identity_checks.json,left_error_area_mpa; decompose; all650 episodes,"algebraic identity, not causal evidence"
03_framework.md / 3.5 / block 3,An error reduction contributes in proportion to the budget interval over which its updated predictio,src/cmc_bbdm/cai_agent_v3/metrics.py; analysis/timing_analysis.py; analysis/timing_identity_checks.json,left_error_area_mpa; decompose; all650 episodes,"algebraic identity, not causal evidence"
03_framework.md / 3.5 / block 4,"For descriptive analysis, we group these signed contributions by acquisition completion stage: (0,0.",src/cmc_bbdm/cai_agent_v3/metrics.py; analysis/timing_analysis.py; analysis/timing_identity_checks.json,left_error_area_mpa; decompose; all650 episodes,"algebraic identity, not causal evidence"
04_experimental_design.md / 4.1 / block 1,The study uses source image datasets [@hasebe2022data] and CAI measurements [@hasebe2025data; @data_,results/cai_agent_v3/new_protocol/cohort_summary.json; results/cai_agent_v3/new_protocol/capture_groups.csv; results/cai_agent_v3/new_protocol/split_manifest.csv; src/cmc_bbdm/cai_agent_v3/cohort.py; src/cmc_bbdm/cai_agent_v3/cohort_export.py; references/reference_ledger.csv,276/259; TRAIN161/152; VALID50/48; reserved65/59; seven data citations,data provenance / grouping / historical scope
04_experimental_design.md / 4.1 / block 2,Source relationships are handled at the capture-group level. Specimens sharing a source image identi,results/cai_agent_v3/new_protocol/cohort_summary.json; results/cai_agent_v3/new_protocol/capture_groups.csv; results/cai_agent_v3/new_protocol/split_manifest.csv; src/cmc_bbdm/cai_agent_v3/cohort.py; src/cmc_bbdm/cai_agent_v3/cohort_export.py; references/reference_ledger.csv,276/259; TRAIN161/152; VALID50/48; reserved65/59; seven data citations,data provenance / grouping / historical scope
04_experimental_design.md / 4.1 / block 3,| Source domain and configuration | TRAIN | VALID | Reserved TEST | Total |,results/cai_agent_v3/new_protocol/cohort_summary.json; results/cai_agent_v3/new_protocol/capture_groups.csv; results/cai_agent_v3/new_protocol/split_manifest.csv; src/cmc_bbdm/cai_agent_v3/cohort.py; src/cmc_bbdm/cai_agent_v3/cohort_export.py; references/reference_ledger.csv,276/259; TRAIN161/152; VALID50/48; reserved65/59; seven data citations,data provenance / grouping / historical scope
04_experimental_design.md / 4.1 / block 4,**Table 1. Cohort composition.** Configuration labels follow the version-1 source dataset descriptio,results/cai_agent_v3/new_protocol/cohort_summary.json; results/cai_agent_v3/new_protocol/capture_groups.csv; results/cai_agent_v3/new_protocol/split_manifest.csv; src/cmc_bbdm/cai_agent_v3/cohort.py; src/cmc_bbdm/cai_agent_v3/cohort_export.py; references/reference_ledger.csv,276/259; TRAIN161/152; VALID50/48; reserved65/59; seven data citations,data provenance / grouping / historical scope
04_experimental_design.md / 4.1 / block 5,"The reported validation specimens were also used for checkpoint selection, and the underlying cohort",results/cai_agent_v3/new_protocol/cohort_summary.json; results/cai_agent_v3/new_protocol/capture_groups.csv; results/cai_agent_v3/new_protocol/split_manifest.csv; src/cmc_bbdm/cai_agent_v3/cohort.py; src/cmc_bbdm/cai_agent_v3/cohort_export.py; references/reference_ledger.csv,276/259; TRAIN161/152; VALID50/48; reserved65/59; seven data citations,data provenance / grouping / historical scope
04_experimental_design.md / 4.2 / block 1,"We compare nine acquisition strategies under the same legal-cell rule, native-pixel cost and frozen ",src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,all nine methods; actor parameter counts; fixed policy orders,control definitions
04_experimental_design.md / 4.2 / block 2,Five learned strategies test different levels of decision information. Learned-static has 64 shared ,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,all nine methods; actor parameter counts; fixed policy orders,control definitions
04_experimental_design.md / 4.2 / block 3,| Policy | Decision information | Structure | First-step VLM restriction |,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,all nine methods; actor parameter counts; fixed policy orders,control definitions
04_experimental_design.md / 4.2 / block 4,**Table 2. Acquisition-policy information and structure.** The state-permission table in Section 3 s,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/actor_training.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,all nine methods; actor parameter counts; fixed policy orders,control definitions
04_experimental_design.md / 4.3 / block 1,Perception and assessment were frozen before the evaluated policy runs. The fit-side VLM cache conta,results/cai_agent_v3/w3_pilot/r1_0e11452a/protocol_snapshot.json; results/cai_agent_v3/w3_pilot/r1_0e11452a/actor_manifests.json; results/cai_agent_v3/w3_pilot/r1_0e11452a/final_manifest.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/frozen_episode_index.csv; src/cmc_bbdm/cai_agent_v3/predictor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/predictor_gate.json; results/cai_agent_v3/w2_replay/r1_292b1c74/oof_readiness.json,five method seeds/selected updates;650episodes;211fit cache; _sample_training_masks/_train_candidate/evaluate_predictor/run_oof_reward_predictors,saved training/evaluation settings
04_experimental_design.md / 4.3 / block 2,"Policies were optimized with AdamW [@loshchilov2019], learning rate 3×$10^{-4}$, weight decay $10^{-",results/cai_agent_v3/w3_pilot/r1_0e11452a/protocol_snapshot.json; results/cai_agent_v3/w3_pilot/r1_0e11452a/actor_manifests.json; results/cai_agent_v3/w3_pilot/r1_0e11452a/final_manifest.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/frozen_episode_index.csv; src/cmc_bbdm/cai_agent_v3/predictor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/predictor_gate.json; results/cai_agent_v3/w2_replay/r1_292b1c74/oof_readiness.json,five method seeds/selected updates;650episodes;211fit cache; _sample_training_masks/_train_candidate/evaluate_predictor/run_oof_reward_predictors,saved training/evaluation settings
04_experimental_design.md / 4.3 / block 3,"One initialization was used per learned method, with seeds 2026091301–2026091305 assigned to main, n",results/cai_agent_v3/w3_pilot/r1_0e11452a/protocol_snapshot.json; results/cai_agent_v3/w3_pilot/r1_0e11452a/actor_manifests.json; results/cai_agent_v3/w3_pilot/r1_0e11452a/final_manifest.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/frozen_episode_index.csv; src/cmc_bbdm/cai_agent_v3/predictor_training.py; results/cai_agent_v3/w2_replay/r1_292b1c74/predictor_gate.json; results/cai_agent_v3/w2_replay/r1_292b1c74/oof_readiness.json,five method seeds/selected updates;650episodes;211fit cache; _sample_training_masks/_train_candidate/evaluate_predictor/run_oof_reward_predictors,saved training/evaluation settings
04_experimental_design.md / 4.4 / block 1,"The main common-cap grid is {0,0.0625,0.125,0.1875,0.25}. All lower-cap estimates are queried from p",src/cmc_bbdm/cai_agent_v3/paper_evidence_math.py; src/cmc_bbdm/cai_agent_v3/paper_evidence.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_grid.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_anchors.csv; src/cmc_bbdm/cai_agent_v3/actor_training.py,aggregate/area/bootstrap_weights/first_quality/saving; primary/event grids; fixed B025 _actor_forward/_evaluate_one,estimands / conditional uncertainty / rendering disclosure
04_experimental_design.md / 4.4 / block 2,"At each cap, absolute and squared losses are averaged across Random repeats within each physical spe",src/cmc_bbdm/cai_agent_v3/paper_evidence_math.py; src/cmc_bbdm/cai_agent_v3/paper_evidence.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_grid.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_anchors.csv; src/cmc_bbdm/cai_agent_v3/actor_training.py,aggregate/area/bootstrap_weights/first_quality/saving; primary/event grids; fixed B025 _actor_forward/_evaluate_one,estimands / conditional uncertainty / rendering disclosure
04_experimental_design.md / 4.4 / block 3,"Reported uncertainty comes from the existing 5000-replicate, within-domain capture-group bootstrap, ",src/cmc_bbdm/cai_agent_v3/paper_evidence_math.py; src/cmc_bbdm/cai_agent_v3/paper_evidence.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_grid.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_anchors.csv; src/cmc_bbdm/cai_agent_v3/actor_training.py,aggregate/area/bootstrap_weights/first_quality/saving; primary/event grids; fixed B025 _actor_forward/_evaluate_one,estimands / conditional uncertainty / rendering disclosure
04_experimental_design.md / 4.4 / block 4,Matched-quality analysis first computes each method's cohort-level MAE curve and then finds its earl,src/cmc_bbdm/cai_agent_v3/paper_evidence_math.py; src/cmc_bbdm/cai_agent_v3/paper_evidence.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_grid.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_anchors.csv; src/cmc_bbdm/cai_agent_v3/actor_training.py,aggregate/area/bootstrap_weights/first_quality/saving; primary/event grids; fixed B025 _actor_forward/_evaluate_one,estimands / conditional uncertainty / rendering disclosure
05_results.md / 5.1 / block 1,Task-driven feedback produced lower observed errors than several fixed acquisition rules under the c,results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_paired_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,budget0.25; GEOMETRY_SPREAD vs VLM_SPATIAL_FEEDBACK; all methods; full reference,same-cap observed comparison
05_results.md / 5.1 / block 2,"Across the entire acquisition range, the main policy had a six-domain-equal A of 45.110 MPa, compare",results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_paired_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,budget0.25; GEOMETRY_SPREAD vs VLM_SPATIAL_FEEDBACK; all methods; full reference,same-cap observed comparison
05_results.md / 5.1 / block 3,| Acquisition policy | A (MPa) | Early A (MPa) | MAE at cap (MPa) | RMSE at cap (MPa) | R² at cap |,results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_paired_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,budget0.25; GEOMETRY_SPREAD vs VLM_SPATIAL_FEEDBACK; all methods; full reference,same-cap observed comparison
05_results.md / 5.1 / block 4,**Table 3. Common-predictor comparison.** Partial policies use cap 0.25; the complete-input row is a,results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_paired_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,budget0.25; GEOMETRY_SPREAD vs VLM_SPATIAL_FEEDBACK; all methods; full reference,same-cap observed comparison
05_results.md / 5.1 / block 5,![MAE along the recorded acquisition range. Curves are held current-state values on the shared event,results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_paired_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,budget0.25; GEOMETRY_SPREAD vs VLM_SPATIAL_FEEDBACK; all methods; full reference,same-cap observed comparison
05_results.md / 5.2 / block 1,"The three policies spanning a shared ranking, specimen-conditioned open-loop choice and internal fee",results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_area_intervals.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics_by_domain.csv,four signed contrasts; domain area; no-VLM and mean endpoint metrics,descriptive component comparisons; all four intervals include0
05_results.md / 5.2 / block 2,The main policy improved on open-loop by 1.391 MPa in A and 0.536 MPa in endpoint MAE. The area dire,results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_area_intervals.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics_by_domain.csv,four signed contrasts; domain area; no-VLM and mean endpoint metrics,descriptive component comparisons; all four intervals include0
